customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
15199299,83412126,,1,Tiki Trading,3,,,2023-03-06 07:13:21+00:00,2023-03-07 10:08:32+00:00,18919706
26562777,83412126,,1,Tiki Trading,4,,,2022-06-28 14:02:30+00:00,2022-06-29 10:34:33+00:00,16886405
1824362,83412126,,1,Tiki Trading,3,,,2024-05-30 05:03:26+00:00,2024-05-31 10:15:36+00:00,19888248
27287248,83412126,,38510,JoyMall LocknLock Chính Hãng,1,,,2022-04-22 03:26:49+00:00,2022-04-29 18:39:03+00:00,16340404
15658950,83412126,,1,Tiki Trading,4,,,2022-05-11 06:51:56+00:00,2022-05-14 10:25:03+00:00,16320956
12454289,83412126,,1,Tiki Trading,1,,,2023-02-13 18:01:03+00:00,2023-02-14 15:40:43+00:00,18800086
183046,83412126,,1,Tiki Trading,4,,,2024-05-19 08:59:45+00:00,2024-05-20 09:35:05+00:00,19878100
5607372,83412126,,1,Tiki Trading,2,,,2023-08-18 16:00:27+00:00,2023-08-20 08:56:48+00:00,19475732
8905481,83412126,,1,Tiki Trading,1,,,2026-03-04 00:48:39+00:00,2026-03-04 09:00:39+00:00,20217071
27565692,83412126,,1,Tiki Trading,4,,,2025-03-04 06:01:15+00:00,2025-03-04 15:02:35+00:00,20090920
24835127,83412126,,1,Tiki Trading,3,,,2022-02-07 12:11:24+00:00,2022-02-08 08:26:11+00:00,14836538
6713082,83412126,,1,Tiki Trading,1,,,2022-07-05 03:56:29+00:00,2022-07-06 10:39:20+00:00,17080563
6161375,83412126,,1,Tiki Trading,4,,,2021-04-25 16:10:38+00:00,2021-04-27 12:00:09+00:00,10315302
6193223,83412126,,1,Tiki Trading,1,,,2021-04-14 09:24:40+00:00,2021-04-15 09:10:26+00:00,9150133
16688933,83412126,,1,Tiki Trading,1,,,2023-03-28 06:23:47+00:00,2023-03-28 16:35:04+00:00,19023175
19161936,83412126,,44481,Pmart,1,,,2021-12-12 00:10:01+00:00,2021-12-14 15:46:37+00:00,15136365
7374835,83412126,,1,Tiki Trading,3,,,2022-01-15 06:09:00+00:00,,14429936
18495580,83412126,,1,Tiki Trading,4,,,2025-07-19 13:04:23+00:00,2025-07-22 11:52:10+00:00,20149697
27030040,83412126,,1,Tiki Trading,2,,,2022-03-10 03:48:50+00:00,2022-03-11 11:52:36+00:00,15368537
17478971,83412126,,1,Tiki Trading,4,,,2021-03-25 16:58:05+00:00,2021-03-26 13:32:50+00:00,8679615
18206799,83412126,,1,Tiki Trading,2,,,2022-09-18 03:01:40+00:00,2022-09-19 18:29:35+00:00,17760702
27668013,83412126,,1,Tiki Trading,2,,,2022-07-17 09:39:06+00:00,2022-07-18 12:16:48+00:00,17109058
1829099,83412126,,1,Tiki Trading,2,,,2022-08-06 08:30:36+00:00,2022-08-06 17:03:46+00:00,17320332
26290420,83412126,,1,Tiki Trading,3,,,2022-09-13 06:38:49+00:00,2022-09-13 15:58:03+00:00,17683004
17390426,83412126,,1,Tiki Trading,1,,,2021-12-20 04:24:58+00:00,,13872855
596444,83412126,,1,Tiki Trading,1,,,2023-03-16 11:26:14+00:00,2023-03-17 13:33:14+00:00,18975082
22901142,83412126,,1,Tiki Trading,1,,,2022-08-16 07:49:21+00:00,2022-08-18 13:50:15+00:00,17451630
5403221,83412126,,1,Tiki Trading,2,,,2023-11-16 06:30:12+00:00,2023-11-17 14:45:34+00:00,19651307
27246292,83412126,,1,Tiki Trading,2,,,2022-04-14 08:20:59+00:00,2022-04-15 14:34:20+00:00,15958657
29195267,83412126,,1,Tiki Trading,3,,,2023-09-17 17:56:38+00:00,2023-09-20 14:06:28+00:00,19541752
18141370,83412126,,1,Tiki Trading,3,,,2024-07-07 14:45:13+00:00,2024-07-11 11:12:06+00:00,19924539
1901595,83412126,,1,Tiki Trading,2,,,2021-08-28 06:45:40+00:00,2021-10-09 14:52:39+00:00,12512027
733711,83412126,,1,Tiki Trading,1,,,2021-05-10 06:31:01+00:00,2021-05-11 10:39:03+00:00,9642305
1492552,83412126,,1,Tiki Trading,4,,,2021-11-10 09:37:00+00:00,2021-11-13 16:17:30+00:00,13176566
18208921,83412126,,1,Tiki Trading,3,,,2022-05-22 08:41:17+00:00,2022-05-23 08:35:22+00:00,16426963
11476478,83412126,,44481,Pmart,1,,,2021-07-11 18:51:47+00:00,2021-07-13 09:37:06+00:00,11124748
5789101,83412126,,1,Tiki Trading,4,,,2021-04-09 14:55:43+00:00,2021-04-10 13:54:10+00:00,9005907
10828931,83412126,,1,Tiki Trading,2,,,2022-02-22 01:00:39+00:00,2022-02-24 10:08:24+00:00,15117482
19598343,83412126,,1,Tiki Trading,2,,,2023-12-18 09:00:40+00:00,2023-12-19 10:53:40+00:00,19698113
10454634,83412126,,38510,JoyMall LocknLock Chính Hãng,4,,,2023-05-23 04:08:22+00:00,2023-05-25 14:27:06+00:00,19235107
18620914,83412126,,1,Tiki Trading,4,,,2022-11-19 09:11:25+00:00,2022-11-21 09:25:47+00:00,18289279
29822432,83412126,,1,Tiki Trading,3,,,2024-03-07 14:37:31+00:00,2024-03-09 09:06:43+00:00,19801370
